Date,Open,High,Low,Close,Adj Close,Volume
2015-02-09,48792.000000,49522.000000,48416.000000,49383.000000,49383.000000,3658900
2015-02-10,49359.000000,49799.000000,48510.000000,48510.000000,48510.000000,3796000
2015-02-11,48508.000000,48762.000000,47841.000000,48240.000000,48240.000000,4307600
2015-02-12,48240.000000,49690.000000,48240.000000,49533.000000,49533.000000,3828500
2015-02-13,49546.000000,50726.000000,49476.000000,50636.000000,50636.000000,3888100
2015-02-18,50639.000000,51868.000000,50639.000000,51280.000000,51280.000000,2940700
2015-02-19,51281.000000,51638.000000,50870.000000,51294.000000,51294.000000,2485100
2015-02-20,51301.000000,51450.000000,50711.000000,51238.000000,51238.000000,2208700
2015-02-23,51238.000000,51690.000000,50861.000000,51281.000000,51281.000000,2824500
2015-02-24,51288.000000,51956.000000,51049.000000,51874.000000,51874.000000,3004200
2015-02-25,51863.000000,51863.000000,51051.000000,51811.000000,51811.000000,3477200
2015-02-26,51812.000000,51922.000000,51181.000000,51761.000000,51761.000000,3239000
2015-02-27,51760.000000,52457.000000,51474.000000,51583.000000,51583.000000,4177300
2015-03-02,51580.000000,51580.000000,50775.000000,51021.000000,51021.000000,2793700
2015-03-03,51021.000000,51432.000000,50995.000000,51304.000000,51304.000000,2746200
2015-03-04,51303.000000,51303.000000,50399.000000,50468.000000,50468.000000,3654700
2015-03-05,50472.000000,50734.000000,50114.000000,50365.000000,50365.000000,2732500
2015-03-06,50355.000000,50401.000000,49779.000000,49981.000000,49981.000000,2787800
2015-03-09,49978.000000,49978.000000,48952.000000,49181.000000,49181.000000,3299100
2015-03-10,49177.000000,49177.000000,48293.000000,48293.000000,48293.000000,4434300
2015-03-11,48309.000000,48937.000000,48309.000000,48906.000000,48906.000000,3839700
2015-03-12,48908.000000,49633.000000,48684.000000,48880.000000,48880.000000,3833200
2015-03-13,48858.000000,48858.000000,47905.000000,48596.000000,48596.000000,4475600
2015-03-16,48602.000000,49205.000000,48394.000000,48848.000000,48848.000000,3155400
2015-03-17,48849.000000,50384.000000,48841.000000,50285.000000,50285.000000,4013900
2015-03-18,50284.000000,51773.000000,49788.000000,51526.000000,51526.000000,4458900
2015-03-19,51530.000000,51547.000000,50791.000000,50954.000000,50954.000000,3263600
2015-03-20,50964.000000,52286.000000,50964.000000,51967.000000,51967.000000,4916800
2015-03-23,51970.000000,52178.000000,51516.000000,51908.000000,51908.000000,3397500
2015-03-24,51908.000000,52223.000000,51006.000000,51506.000000,51506.000000,3436500
2015-03-25,51507.000000,52319.000000,51507.000000,51858.000000,51858.000000,4774600
2015-03-26,51835.000000,51835.000000,50528.000000,50580.000000,50580.000000,3638500
2015-03-27,50575.000000,50575.000000,49909.000000,50095.000000,50095.000000,3927700
2015-03-30,50100.000000,51265.000000,50100.000000,51243.000000,51243.000000,2798500
2015-03-31,51243.000000,51466.000000,50612.000000,51150.000000,51150.000000,3511300
2015-04-01,51186.000000,52613.000000,51186.000000,52322.000000,52322.000000,4411500
2015-04-02,52322.000000,53312.000000,52322.000000,53123.000000,53123.000000,4266500
2015-04-06,53124.000000,54146.000000,53122.000000,53737.000000,53737.000000,3322100
2015-04-07,53738.000000,54002.000000,53436.000000,53729.000000,53729.000000,3487100
2015-04-08,53732.000000,54458.000000,53508.000000,53661.000000,53661.000000,4780400
2015-04-09,53638.000000,54002.000000,53292.000000,53803.000000,53803.000000,4338300
2015-04-10,53803.000000,54413.000000,53556.000000,54214.000000,54214.000000,3683000
2015-04-13,54214.000000,54866.000000,54004.000000,54240.000000,54240.000000,3660300
2015-04-14,54240.000000,54625.000000,53773.000000,53982.000000,53982.000000,3747100
2015-04-15,54037.000000,54960.000000,54037.000000,54919.000000,54919.000000,4069600
2015-04-16,54919.000000,54919.000000,54316.000000,54674.000000,54674.000000,4133000
2015-04-17,54672.000000,54672.000000,53896.000000,53955.000000,53955.000000,3537200
2015-04-20,53965.000000,54385.000000,53510.000000,53761.000000,53761.000000,2688000
2015-04-22,53762.000000,54848.000000,53762.000000,54617.000000,54617.000000,3700600
2015-04-23,54616.000000,55782.000000,54064.000000,55685.000000,55685.000000,5535100
2015-04-24,55687.000000,56965.000000,55687.000000,56594.000000,56594.000000,4982000
2015-04-27,56554.000000,56962.000000,55515.000000,55535.000000,55535.000000,3854300
2015-04-28,55549.000000,56018.000000,54973.000000,55812.000000,55812.000000,4082600
2015-04-29,55809.000000,55809.000000,55067.000000,55325.000000,55325.000000,3888400
2015-04-30,55312.000000,56229.000000,55080.000000,56229.000000,56229.000000,4947500
2015-05-04,56230.000000,57520.000000,56230.000000,57354.000000,57354.000000,3492600
2015-05-05,57350.000000,58147.000000,57096.000000,58052.000000,58052.000000,3903800
2015-05-06,58050.000000,58575.000000,56820.000000,57103.000000,57103.000000,4598400
2015-05-07,57103.000000,57290.000000,56507.000000,56921.000000,56921.000000,3065100
2015-05-08,56965.000000,57621.000000,56595.000000,57149.000000,57149.000000,3410900
2015-05-11,57166.000000,57490.000000,57013.000000,57197.000000,57197.000000,2966300
2015-05-12,57193.000000,57424.000000,56753.000000,56792.000000,56792.000000,3087600
2015-05-13,56790.000000,56900.000000,56199.000000,56372.000000,56372.000000,3071700
2015-05-14,56376.000000,56921.000000,56105.000000,56657.000000,56657.000000,3209800
2015-05-15,56656.000000,57288.000000,56422.000000,57249.000000,57249.000000,2894400
2015-05-18,57250.000000,57606.000000,55926.000000,56204.000000,56204.000000,3778400
2015-05-19,56204.000000,56212.000000,55027.000000,55499.000000,55499.000000,3223000
2015-05-20,55497.000000,55645.000000,54820.000000,54901.000000,54901.000000,3278700
2015-05-21,54900.000000,55112.000000,54526.000000,55112.000000,55112.000000,3303700
2015-05-22,55112.000000,55223.000000,54038.000000,54377.000000,54377.000000,3689100
2015-05-25,54378.000000,54868.000000,53972.000000,54609.000000,54609.000000,1604600
2015-05-26,54609.000000,54609.000000,53548.000000,53630.000000,53630.000000,3324200
2015-05-27,53631.000000,54293.000000,53136.000000,54236.000000,54236.000000,3475600
2015-05-28,54230.000000,54230.000000,53363.000000,53976.000000,53976.000000,2914500
2015-05-29,53974.000000,53974.000000,52760.000000,52760.000000,52760.000000,5553300
2015-06-01,52753.000000,53233.000000,52666.000000,53031.000000,53031.000000,2675400
